,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
157,       4336;19510607;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.0;  12.9;    -999;   17.2;   65.00;   22.0;   10.1;    8.8;eor
158,       4336;19510608;-999;-999;-999;    5;   3.0;   1;-999;   0;   6.0;  14.3;    -999;   16.5;   74.00;   21.5;   10.2;    8.4;eor
159,       4336;19510609;-999;-999;-999;    5;   9.3;   1;-999;   0;   3.7;  13.2;    -999;   16.0;   71.00;   22.7;   12.3;   12.0;eor
160,       4336;19510610;-999;-999;-999;    5;   5.4;   1;-999;   0;   6.3;  12.1;    -999;   12.1;   86.00;   16.4;   10.4;   10.0;eor
161,       4336;19510611;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.0;  13.9;    -999;   14.7;   83.00;   18.2;    8.5;    7.5;eor
162,       4336;19510612;-999;-999;-999;    5;  14.3;   1;-999;   0;   5.0;  15.2;    -999;   16.6;   78.00;   23.0;   11.3;    9.9;eor
163,       4336;19510613;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.7;  13.9;    -999;   15.4;   79.00;   19.2;   10.8;   10.5;eor
164,       4336;19510614;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.3;  14.0;    -999;   20.1;   60.00;   25.8;   10.6;    8.8;eor
165,       4336;19510615;-999;-999;-999;    5;   1.6;   1;-999;   0;   4.0;  17.7;    -999;   19.4;   77.00;   25.2;   13.0;   12.6;eor
166,       4336;19510616;-999;-999;-999;    5;   4.6;   1;-999;   0;   4.7;  19.5;    -999;   18.4;   90.00;   22.5;   15.8;   15.2;eor
167,       4336;19510617;-999;-999;-999;    5;  35.6;   1;-999;   0;   5.0;  18.4;    -999;   17.6;   87.00;   21.8;   14.6;   13.5;eor
